version,imei,imsi,brand,cpu,device_id,device_model,resolution,carrier,access,access_subtype,channel,source,source_detail,userid,phone_number,country,language,os,os_version,sdk_version,event_type,seq,ts,kv,appnm,ip,h5_kv,source_kv,md5,pt,hr
4.8.5,867706026629513,,vivo,armeabi-v7a,e066c12b70ee265f,vivo Y29L,1280*720,CMCC,WIFI,,vivo,launcher,,24967169,,,,android,4.4.4,,launch_time,54758,1477196496107,"{""home_show"":""2092"",""total"":""4967"",""app_create"":""1250"",""home_create"":""285""}",beibei,219.129.214.85,{},{},ed2ab0a9886b92810b661a8dcc158316,20161023,12
4.8.5,351702074982154,,samsung,armeabi-v7a,8ed470e34b07c539,SM-J7008,1280*720,CHINA MOBILE,WIFI,,baidu,launcher,,29080087,8,,,android,5.1,,launch_time,18025,1477196272564,"{""app_create"":""771"",""total"":""2835"",""home_show"":""964"",""home_create"":""175""}",beibei,14.144.150.87,{},{},e438ae4270500d28ababf60301645ef3,20161023,12
4.8.5,862350034083440,,vivo,armeabi-v7a,9e6353a9356d6e7f,vivo V3M A,1280*720,中国联通,MOBILE,,vivo,launcher,,42316833,+8615639637364,,,android,5.1,,launch_time,7595,1477181830297,"{""app_create"":""844"",""total"":""3615"",""home_show"":""1085"",""home_create"":""408""}",beibei,61.158.147.206,{},{},ea28a3e7addd9e85adc20a042002ff63,20161023,12
4.8.5,866374029417310,,OPPO,armeabi-v7a,3aba043675bf8c35,R2017,960*540,China Mobile,WIFI,,baidu,launcher,,34026070,,,,android,4.3,,launch_time,8005,1477198749331,"{""home_show"":""588308"",""total"":""591440"",""app_create"":""1650"",""home_create"":""485""}",beibei,182.200.76.70,{},{},db13b7a03631fdcaf0e9920b59ee408b,20161023,12
4.8.5,860719037021130,,CMDC,armeabi-v7a,644a79b440d15d22,M636,1280*720,China Mobile,WIFI,,baidu,launcher,,35148881,,,,android,5.1.1,,launch_time,13599,1477191233175,"{""app_create"":""853"",""total"":""3496"",""home_show"":""1582"",""home_create"":""284""}",beibei,49.87.204.239,{},{},c8e0187b1f9d5a94b1a94f43c431faed,20161023,12
4.8.5,,,BBK,armeabi-v7a,40dfac2b4e2a34a9,vivo Y13,854*480,中国移动,WIFI,,vivo,launcher,,27462930,,,,android,4.2.2,,launch_time,19647,1477122294498,"{""home_show"":""7194"",""total"":""12561"",""app_create"":""2033"",""home_create"":""839""}",beibei,118.120.170.42,{},{},cfa5f8db2a07bcf70fb93562a8d42783,20161023,12
4.8.5,866232026077166,,vivo,armeabi-v7a,f9a9e9d76123a49a,vivo X5S L,1280*720,中国移动,WIFI,,vivo,launcher,,28904780,,,,android,4.4.4,,launch_time,4307,1477198695309,"{""home_show"":""2590"",""total"":""4946"",""app_create"":""1330"",""home_create"":""242""}",beibei,103.43.104.20,{},{},ff7cf41e01c2933c1cb8cbd10a0365c1,20161023,12
4.8.5,357698062024427,,samsung,armeabi-v7a,e8067b82687577e6,SM-E7000,1280*720,CHINA MOBILE,WIFI,,baidu,launcher,,150712,,,,android,4.4.4,,launch_time,1281,1477195450846,"{""home_show"":""3786"",""total"":""7258"",""app_create"":""1187"",""home_create"":""360""}",beibei,118.249.34.169,{},{},200eb52c087d00f002bdef74435a6bab,20161023,12
4.8.5,A10000456D2DD8,,vivo,armeabi-v7a,e16e0e8169311cad,vivo X5Max V,1920*1080,CMCC,WIFI,,vivo,launcher,,31174442,,,,android,4.4.4,,launch_time,5248,1477115376576,"{""home_show"":""3004"",""total"":""686839"",""app_create"":""2103"",""home_create"":""526""}",beibei,144.0.246.100,{},{},314d525a3aae9257194ed37a9a515216,20161023,12
4.8.5,A10000456D2DD8,,vivo,armeabi-v7a,e16e0e8169311cad,vivo X5Max V,1920*1080,CMCC,WIFI,,vivo,launcher,,31174442,,,,android,4.4.4,,launch_time,5311,1477196841581,"{""home_show"":""4421"",""total"":""11577"",""app_create"":""3335"",""home_create"":""612""}",beibei,144.0.246.100,{},{},314d525a3aae9257194ed37a9a515216,20161023,12
4.8.5,867065024968880,,HUAWEI,armeabi-v7a,36b3f3d71c0bf380,HUAWEI P7-L07,1776*1080,中国移动,mobile,,baidu,launcher,,17453583,,,,android,4.4.2,,launch_time,53479,1477197113655,"{""home_show"":""4592"",""total"":""11550"",""app_create"":""2792"",""home_create"":""753""}",beibei,112.94.67.8,{},{},e10eeac03c9e02111e1febab0b0f974f,20161023,12
4.8.5,351702074982154,,samsung,armeabi-v7a,8ed470e34b07c539,SM-J7008,1280*720,CHINA MOBILE,WIFI,,baidu,launcher,,29080087,8,,,android,5.1,,launch_time,17970,1477194002560,"{""app_create"":""984"",""total"":""4013"",""home_show"":""1431"",""home_create"":""452""}",beibei,14.144.150.87,{},{},a53098b13f5cf1553cd678783cc7e5e6,20161023,12
4.8.5,868721029868314,,HUAWEI,armeabi-v7a,e1a0fba1c3e8c07,ALE-UL00,1208*720,中国移动,MOBILE,,baidu,launcher,,25569428,,,,android,6.0,,launch_time,10221,1477184269882,"{""app_create"":""870"",""total"":""3775"",""home_show"":""1620"",""home_create"":""483""}",beibei,117.136.100.252,{},{},7794bf4e1f59e79e15406b8f78429f6a,20161023,12
4.8.5,860901037920566,,vivo,armeabi-v7a,9be195e707786cd6,vivo Y51,960*540,CMCC,WIFI,,vivo,launcher,,13888309,,,,android,5.0.2,,launch_time,56528,1477197820648,"{""app_create"":""1507"",""total"":""6979"",""home_show"":""3923"",""home_create"":""222""}",beibei,42.48.243.40,{},{},631535aeb94396f55e6dd28dedacbcef,20161023,12
4.8.5,865852029104971,,OPPO,armeabi-v7a,c4c5531830f6d9e3,R6007,1280*720,China Mobile,WIFI,,baidu,launcher,,25136343,,,,android,4.3,,launch_time,62902,1477195300029,"{""home_show"":""1936"",""total"":""2808372"",""app_create"":""1020"",""home_create"":""315""}",beibei,111.13.111.220,{},{},ee68f25b0a6157e9efdd5aef1daecc74,20161023,12
4.8.5,861916033655494,,OPPO,armeabi-v7a,5ef135f0e0431782,OPPO R9tm,1920*1080,中国移动,WIFI,,baidu,launcher,,41639065,,,,android,5.1,,launch_time,2088,1477156706445,"{""app_create"":""827"",""total"":""3501"",""home_show"":""1647"",""home_create"":""191""}",beibei,101.64.181.6,{},{},fca515f98b35298c67a7cd6f038d34cb,20161023,12
4.8.5,A10000456C41AB,,vivo,armeabi-v7a,c782bd937af79947,vivo Y927,1280*720,中国电信,WIFI,,wm066,push,http://mp.beibei.com/hms2_page_n/nkcjy/ydlft.html,41927635,,,,android,4.4.4,,launch_time,10614,1477196403778,"{""home_show"":""147088"",""total"":""11244813"",""app_create"":""22257"",""home_create"":""228""}",beibei,116.225.92.126,{},{},beb76a2a4a31495a79e73cb94c36afd0,20161023,12
4.8.5,865528028232670,,HUAWEI,armeabi-v7a,14b8058ef367213d,HUAWEI G750-T01,1280*720,中国联通,WIFI,,wm066,launcher,,32153410,,,,android,4.2.2,,launch_time,14840,1476933084273,"{""home_show"":""3655"",""total"":""11257"",""app_create"":""1258"",""home_create"":""454""}",beibei,60.1.247.33,{},{},c0dc5c1234a2e203346305d8df6b9134,20161023,12
4.8.5,865712025040951,,BBK,armeabi-v7a,bcabc25fc28d1503,vivo X3L,1280*720,CMCC,mobile,,vivo,launcher,,35404779,,,,android,4.3,,launch_time,77448,1477197886157,"{""home_show"":""2506"",""total"":""1106020"",""app_create"":""1130"",""home_create"":""275""}",beibei,117.136.36.218,{},{},e726525f5273b886ec89d4a5867fcde6,20161023,12
4.8.5,864395025930156,,BBK,armeabi-v7a,ce8e949217530cef,vivo Y17T,1280*720,中国联通,WIFI,,baidu,launcher,,36990321,+8613137560213,,,android,4.2.2,,launch_time,6896,1477184390168,"{""home_show"":""5394"",""total"":""561347"",""app_create"":""2507"",""home_create"":""1180""}",beibei,182.112.2.190,{},{},00493cde7f52a6b2cf2ce73d9502309c,20161023,12
4.8.5,A10000456C41AB,,vivo,armeabi-v7a,c782bd937af79947,vivo Y927,1280*720,中国电信,WIFI,,wm066,launcher,,41927635,,,,android,4.4.4,,launch_time,10525,1477130145809,"{""home_show"":""4853"",""total"":""54436"",""app_create"":""3896"",""home_create"":""3243""}",beibei,116.225.92.126,{},{},569873a56a14950c8d25e1f59f51636b,20161023,12
4.8.5,869917028018369,,vivo,armeabi-v7a,baa80479c2060942,vivo Y51A,960*540,CMCC,net_error,,vivo,launcher,,20152313,,,,android,5.0.2,,launch_time,9059,1476452573406,"{""app_create"":""1117"",""total"":""3804"",""home_show"":""1228"",""home_create"":""314""}",beibei,223.104.94.28,{},{},23ce3301f0a2dfd0bd878fbbd201da68,20161023,12
4.8.5,,,BBK,armeabi-v7a,40dfac2b4e2a34a9,vivo Y13,854*480,中国移动,WIFI,,vivo,launcher,,27462930,,,,android,4.2.2,,launch_time,19677,1477197982698,"{""home_show"":""4370"",""total"":""98554"",""app_create"":""3054"",""home_create"":""756""}",beibei,118.120.170.42,{},{},d037d80c21bf4dbecc2699e7218f2ec6,20161023,12
4.8.5,869637025002782,,HUAWEI,armeabi-v7a,1ffe9a0502b7c795,SCL-TL00,1184*720,中国移动4G,WIFI,,baidu,launcher,,42450193,,,,android,5.1.1,,launch_time,47361,1477186255352,"{""app_create"":""1504"",""total"":""6585"",""home_show"":""3390"",""home_create"":""429""}",beibei,111.74.45.191,{},{},b316de3ab1b6fa5d9d1f9c1a8f3f2543,20161023,12
4.8.5,357698060871290,,samsung,armeabi-v7a,83e955c601b9f2de,SM-E7000,1280*720,CHINA MOBILE,mobile,,baidu,launcher,,35184076,,,,android,4.4.4,,launch_time,4085,1476861850373,"{""home_show"":""1870"",""total"":""4626"",""app_create"":""1400"",""home_create"":""246""}",beibei,223.104.24.166,{},{},4e5b854268df81e3fb0abc1182289013,20161023,12
4.8.5,357698060871290,,samsung,armeabi-v7a,83e955c601b9f2de,SM-E7000,1280*720,CHINA MOBILE,mobile,,baidu,launcher,,35184076,,,,android,4.4.4,,launch_time,4118,1477197580845,"{""home_show"":""1312"",""total"":""4069"",""app_create"":""1180"",""home_create"":""268""}",beibei,223.104.24.166,{},{},4e5b854268df81e3fb0abc1182289013,20161023,12
4.8.5,867933025839378,,HUAWEI,armeabi-v7a,cb2fd6934d0be4c5,HUAWEI TAG-TL00,1184*720,中国移动,WIFI,,cs28,launcher,,39587372,,,,android,5.1,,launch_time,33516,1477185671587,"{""app_create"":""880"",""total"":""46290990"",""home_show"":""1071"",""home_create"":""246""}",beibei,58.59.227.67,{},{},0a47ad78ae13ccc5db95a4752ba05e3b,20161023,12
4.8.5,864891028493622,,OPPO,armeabi-v7a,774a06390ab47c7c,R6007,1280*720,China Mobile,WIFI,,wm066,launcher,,33357809,,,,android,4.3,,launch_time,8443,1477186983538,"{""home_show"":""3603"",""total"":""6927"",""app_create"":""1054"",""home_create"":""576""}",beibei,1.28.144.236,{},{},1911d9416444d65b0c7d9b0db6efc38a,20161023,12
4.8.5,860983035062898,,HUAWEI,armeabi-v7a,89c2b867496e9c6a,HUAWEI NXT-AL10,1812*1080,中国电信,WIFI,,baidu,launcher,,36985647,,,,android,6.0,,launch_time,74547,1477131739572,"{""app_create"":""581"",""total"":""2254"",""home_show"":""686"",""home_create"":""296""}",beibei,121.226.158.13,{},{},66984049d6ebd6f0e41711fd33f996e9,20161023,12
4.8.5,,,BBK,armeabi-v7a,40dfac2b4e2a34a9,vivo Y13,854*480,中国移动,WIFI,,vivo,launcher,,27462930,,,,android,4.2.2,,launch_time,19567,1476980372856,"{""home_show"":""5992"",""total"":""10615"",""app_create"":""2227"",""home_create"":""449""}",beibei,118.120.170.42,{},{},141f40bee074da84a26e8994904a4479,20161023,12
4.8.5,,,BBK,armeabi-v7a,40dfac2b4e2a34a9,vivo Y13,854*480,中国移动,WIFI,,vivo,launcher,,27462930,,,,android,4.2.2,,launch_time,19580,1477037918412,"{""home_show"":""2893"",""total"":""6767"",""app_create"":""2088"",""home_create"":""416""}",beibei,118.120.170.42,{},{},141f40bee074da84a26e8994904a4479,20161023,12
4.8.5,357513050465153,,samsung,armeabi-v7a,479c88fd92930fda,GT-N7100,1280*720,CHINA MOBILE,WIFI,,baidu,launcher,,32333144,,,,android,4.3,,launch_time,1701,1477186526640,"{""home_show"":""4279"",""total"":""8471"",""app_create"":""1788"",""home_create"":""815""}",beibei,114.236.29.30,{},{},a8112ab219e8f439d7cd1a7279b9d208,20161023,12
4.8.5,865712025040951,,BBK,armeabi-v7a,bcabc25fc28d1503,vivo X3L,1280*720,CMCC,mobile,,vivo,launcher,,35404779,,,,android,4.3,,launch_time,77372,1477196344595,"{""home_show"":""7792"",""total"":""1841975"",""app_create"":""1446"",""home_create"":""464""}",beibei,117.136.36.218,{},{},d8424a48b301ee184fd14035f6257c8a,20161023,12
4.8.5,359478059375183,,samsung,armeabi-v7a,8853936be6b59908,SM-G7106,1280*720,CHINA MOBILE,WIFI,,wm066,launcher,,35406674,,,,android,4.3,,launch_time,35682,1477198301443,"{""home_show"":""7991"",""total"":""38756"",""app_create"":""1668"",""home_create"":""1315""}",beibei,111.13.111.210,{},{},dc00c8f676f04d7b9a6c241a8f9fc791,20161023,12
4.8.5,866229026755510,,Xiaomi,armeabi-v7a,a18376849a5f3a20,HM NOTE 1LTE,1280*720,中国移动,WIFI,,baidu,launcher,,5473114,,,,android,4.4.4,,launch_time,44105,1477193178077,"{""home_show"":""2374"",""total"":""5284"",""app_create"":""1126"",""home_create"":""244""}",beibei,123.152.36.104,{},{},bc17772316758f3433331e26a6e51292,20161023,12
4.8.5,,,LENOVO,armeabi-v7a,3cc55b89e97fc65b,Lenovo A708t,960*540,中国移动,WIFI,,baidu,launcher,,27223427,,,,android,4.2.2,,launch_time,11665,1477195648520,"{""home_show"":""4194"",""total"":""12182935"",""app_create"":""2865"",""home_create"":""780""}",beibei,42.48.243.39,{},{},7418deac06884bf09b2877e1ce921839,20161023,12
4.8.5,352443060233778,,HTC,armeabi-v7a,abb3e42a8644b764,HTC M8St,1776*1080,中国移动4G,WIFI,,baidu,launcher,,26456818,,,,android,5.0.2,,launch_time,391,1477196999851,"{""app_create"":""13444"",""total"":""115407"",""home_show"":""1402"",""home_create"":""331""}",beibei,171.120.43.160,{},{},7113c1ef762452edb2737c81e2371ab4,20161023,12
4.8.5,860983035062898,,HUAWEI,armeabi-v7a,89c2b867496e9c6a,HUAWEI NXT-AL10,1812*1080,中国电信,WIFI,,baidu,launcher,,36985647,,,,android,6.0,,launch_time,74582,1477198043612,"{""app_create"":""679"",""total"":""2401"",""home_show"":""710"",""home_create"":""205""}",beibei,121.226.158.13,{},{},5b26785cea358a9ffe16e100de3df77c,20161023,12
4.8.5,862814022662309,,BBK,armeabi-v7a,e76a228ebb1bb8e8,vivo Y11i T,800*480,中国移动,WIFI,,vivo,launcher,,13693335,13691843423,,,android,4.2.2,,launch_time,5741,1477196845636,"{""home_show"":""8169"",""total"":""14922"",""app_create"":""1912"",""home_create"":""1535""}",beibei,111.23.223.112,{},{},b36a26d1c2bbb7caa6a53b99d1964998,20161023,12
4.8.5,862545032809627,,vivo,armeabi-v7a,abf924a3004917be,vivo V3Max A,1920*1080,CMCC,MOBILE,,baidu,launcher,,42512895,,,,android,5.1.1,,launch_time,4809,1477196203738,"{""app_create"":""836"",""total"":""4215"",""home_show"":""2315"",""home_create"":""108""}",beibei,223.104.13.88,{},{},89a01b2a5439d515d0acf2f7468e3964,20161023,12
4.8.5,867490022194760,,vivo,armeabi-v7a,95378594e038fa98,vivo Y33,1280*720,中国移动,MOBILE,,vivo,launcher,,22189183,,,,android,5.0,,launch_time,108462,1477135524564,"{""app_create"":""1884"",""total"":""5519"",""home_show"":""1661"",""home_create"":""348""}",beibei,112.94.69.99,{},{},9812c25051c8c1171075ed4f360b707b,20161023,12
4.8.5,357784054226632,,samsung,armeabi-v7a,b25524c0aa847db3,SM-N9006,1920*1080,CHINA MOBILE,WIFI,,baidu,launcher,,29102874,+8618306282520,,,android,5.0,,launch_time,24667,1477012889315,"{""app_create"":""1384"",""total"":""6531"",""home_show"":""2984"",""home_create"":""309""}",beibei,42.48.243.34,{},{},ed94a7e95f0b19b8aa21f015bc69cf56,20161023,12
4.8.5,867798020881026,,GiONEE,armeabi-v7a,d5e7bc6a1d39b63a,GN8001,1920*1080,中国移动,MOBILE,,baidu,launcher,,32522064,,,,android,5.1,,launch_time,36948,1477196352554,"{""app_create"":""903"",""total"":""3813"",""home_show"":""1633"",""home_create"":""151""}",beibei,111.11.6.15,{},{},4bf93097f247d982dddc126a927c8149,20161023,12
4.8.5,867650026197057,,vivo,armeabi-v7a,3c8607668f48edee,vivo X5S L,1280*720,中国移动,mobile,,vivo,launcher,,42736218,,,,android,4.4.4,,launch_time,4837,1477180493476,"{""home_show"":""954"",""total"":""3334"",""app_create"":""1266"",""home_create"":""248""}",beibei,223.104.19.18,{},{},c42522442099dae538f382a8ad48c9f5,20161023,12
4.8.5,861726033964790,,LeMobile,armeabi-v7a,3a3985c127f2f09c,Le X620,1920*1080,中国移动,MOBILE,,baidu,launcher,,27965530,,,,android,6.0,,launch_time,73477,1477195325047,"{""app_create"":""346"",""total"":""1581"",""home_show"":""415"",""home_create"":""89""}",beibei,112.94.64.28,{},{},a47972f464373544f2bc993cb29a226c,20161023,12
4.8.5,866479028327475,,Letv,armeabi-v7a,d5282ec1dd5bd638,x600,1920*1080,中国移动,MOBILE,,wm066,launcher,,29868223,,,,android,6.0,,launch_time,82079,1477195914100,"{""app_create"":""881"",""total"":""2848"",""home_show"":""851"",""home_create"":""263""}",beibei,223.104.19.170,{},{},1240aebef51ced1d6e455b83190052e1,20161023,12
4.8.5,867933025839378,,HUAWEI,armeabi-v7a,cb2fd6934d0be4c5,HUAWEI TAG-TL00,1184*720,中国移动,WIFI,,cs28,launcher,,39587372,,,,android,5.1,,launch_time,33490,1477138389044,"{""app_create"":""942"",""total"":""3981178"",""home_show"":""307952"",""home_create"":""245""}",beibei,58.59.227.67,{},{},b261ba26672cbfbcc51c6a6adc290d57,20161023,12
4.8.5,A000005E7DDCCE,,HUAWEI,armeabi-v7a,95f500d6cf1b639c,HUAWEI TIT-AL00,1184*720,中国电信,WIFI,,wm066,launcher,,12132487,,,,android,5.1,,launch_time,13818,1477198655014,"{""app_create"":""942"",""total"":""4910"",""home_show"":""1626"",""home_create"":""486""}",beibei,121.227.159.254,{},{},80bdb9cd10db3e17c7ecab6fa0c0208b,20161023,12
4.8.5,A10000422F9435,,Hisense,armeabi-v7a,da0f619e41e345fb,Hisense M20-T,854*480,中国电信,WIFI,,baidu,launcher,,37891040,,,,android,4.4.4,,launch_time,14653,1477193848444,"{""home_show"":""81893"",""total"":""152079399"",""app_create"":""3288"",""home_create"":""1261""}",beibei,42.202.78.157,{},{},ed7a22dac40e59beae6022975fbca29f,20161023,12
4.8.5,862470036845776,,OPPO,armeabi-v7a,f69c91142916b699,OPPO A37m,1280*720,中国移动,WIFI,,baidu,launcher,,29189637,,,,android,5.1,,launch_time,13194,1477123045982,"{""app_create"":""914"",""total"":""4282"",""home_show"":""2098"",""home_create"":""253""}",beibei,115.212.12.88,{},{},346cbe9377c701fa295ba7783863b109,20161023,12
4.8.5,869917028018369,,vivo,armeabi-v7a,baa80479c2060942,vivo Y51A,960*540,CMCC,MOBILE,,vivo,launcher,,20152313,,,,android,5.0.2,,launch_time,9418,1477196903276,"{""app_create"":""1498"",""total"":""7380"",""home_show"":""4048"",""home_create"":""486""}",beibei,223.104.94.28,{},{},38f27d2529869b4724947f8a2660baac,20161023,12
4.8.5,358686071318525,,samsung,armeabi-v7a,5d7442da21ffd6bf,SM-A9000,1920*1080,China Telecom,MOBILE,,wm066,launcher,,41492411,,,,android,6.0.1,,launch_time,56974,1477146081862,"{""app_create"":""800"",""total"":""3072"",""home_show"":""1420"",""home_create"":""153""}",beibei,106.108.19.190,{},{},0d4a6d0fe74278f0631ecf865f98935d,20161023,12
4.8.5,358686071318525,,samsung,armeabi-v7a,5d7442da21ffd6bf,SM-A9000,1920*1080,China Telecom,MOBILE,,wm066,launcher,,41492411,,,,android,6.0.1,,launch_time,57035,1477195997858,"{""app_create"":""710"",""total"":""2962"",""home_show"":""1217"",""home_create"":""264""}",beibei,106.108.19.190,{},{},0d4a6d0fe74278f0631ecf865f98935d,20161023,12
